from_GEOID,to_GEOID,fare,IVTT,transfer_wait_time,access_walk_time,egress_walk_time,total_time,n_transfers
12031016606,12031011300,5.25,47.296913,58,0.148817,0.388936,141.834656,2
12031016606,12031011400,7,64.118462,43.5,0.148817,0.605136,147.372421,3
12031016606,12031011500,7,43.078625,43.5,0.148817,1.045408,126.772858,3
12031016606,12031011600,7,40.226326,43.5,0.148817,1.309517,124.184662,3
12031016606,12031011800,7,43.58963,44.5,0.148817,0.999085,128.237534,3
12031016606,12031012100,7,44.522472,58,0.148817,1.282425,142.95372,3
12031016606,12031012400,10.5,71.49913,106.5,0.148817,0.672361,223.820312,5
12031016606,12031012500,8.75,86.938148,74,0.148817,1.482308,204.569275,4
12031016606,12031012601,8.75,80.219955,59,0.148817,0.77527,182.144043,4
12031016606,12031012602,7,61.855629,44.5,0.148817,0.097533,145.601974,3
12031016606,12031012800,7,66.54895,44.5,0.148817,0.334013,150.531784,3
12031016606,12031012900,10.5,76.156837,106.5,0.148817,0.809687,228.615341,5
12031016606,12031013000,7,46.583622,59,0.148817,0.825954,145.558395,3
12031016606,12031013100,8.75,114.642586,150,0.148817,1.008093,307.799469,4
12031016606,12031013200,7,58.487789,90,0.148817,0.370111,188.006729,3
12031016606,12031001300,7,36.70792,58.5,0.148817,0.738105,135.094833,3
12031016606,12031001500,7,38.304092,43.5,0.148817,0.477622,121.430534,3
12031016606,12031001600,7,36.218849,43.5,0.148817,0.849617,119.717285,3
12031016606,12031001200,7,33.623783,43,0.148817,0.083273,115.855873,3
12031016606,12031013402,7,54.432129,59,0.148817,1.309426,153.890381,3
12031016606,12031002200,8.75,59.15514,87.5,0.148817,0.729579,189.533539,4
12031016606,12031002300,8.75,55.283821,87.5,0.148817,0.568697,185.501328,4
12031016606,12031013902,5.25,79.42083,59.5,0.148817,1.141401,176.21106,2
12031016606,12031013904,7,83.363029,60.5,0.148817,0.157318,183.169174,3
12031016606,12031014311,7,63.22419,61.5,0.148817,1.220813,165.093811,3
12031016606,12031014800,3.5,29.209055,37,0.148817,0.558955,99.916824,1
12031016606,12031015002,7,59.69025,60,0.148817,0.815193,159.654251,3
12031016606,12031015300,3.5,23.773741,37,0.148817,1.413611,95.336174,1
12031016606,12031015400,3.5,23.92165,37,0.148817,0.684596,94.755058,1
12031016606,12031015600,1.75,18.267986,0,0.148817,1.361847,49.778648,0
12031016606,12031016300,3.5,5.808296,29,0.148817,1.126305,69.08342,1
12031016606,12031002400,8.75,85.436607,89.5,0.148817,1.136265,218.221695,4
12031016606,12031002600,7,34.15834,44.5,0.148817,0.966269,118.77343,3
12031016606,12031002701,8.75,53.513378,58.5,0.148817,1.161777,155.323975,4
12031016606,12031002702,7,37.867035,44.5,0.148817,0.703803,122.219658,3
12031016606,12031016500,5.25,12.832807,63.5,0.148817,0.623396,113.105026,2
12031016606,12031002801,7,36.968128,43.5,0.148817,0.269304,119.886246,3
12031016606,12031002802,5.25,34.318821,58,0.148817,1.103112,129.570755,2
12031016606,12031002902,7,32.666557,43.5,0.148817,0.878259,116.193634,3
12031016606,12031010202,7,85.836937,44,0.148817,1.21836,170.204117,3
12031016606,12031013404,7,53.669498,59,0.148817,1.300668,153.118988,3
12031016606,12031014330,8.75,120.974007,89.5,0.148817,0.87486,253.497681,4
12031016606,12031014338,7,61.927528,61.5,0.148817,0.901099,163.477432,3
12031016606,12031002102,8.75,61.299564,87.5,0.148817,0.141131,191.089508,4
12031016606,12031002501,8.75,61.492744,74,0.148817,0.43591800000000003,178.077469,4
12031016606,12031002502,10.5,62.773361,105.5,0.148817,1.034802,214.456985,5
12031016606,12031014603,7,62.068623,43.5,0.148817,1.44389,146.161331,3
12031016606,12031014604,7,58.201607,58.5,0.148817,0.421104,156.271515,3
12031016606,12031015925,5.25,37.909729,59,0.464855,1.02952,134.404114,2
12031016606,12031016603,7,43.402859,96,0.464855,1.237782,180.105499,3
12031016606,12031016724,5.25,25.59556,66.5,0.464855,0.654427,129.214828,2
12031016606,12031016725,3.5,25.213835,33.5,0.148817,0.813578,92.676231,1
12031016606,12031016726,5.25,33.645794,66.5,0.464855,0.360269,136.970932,2
12031016606,12031012703,NA,NA,NA,NA,NA,NA,NA
12031016606,12031014001,5.25,84.342903,58.5,0.148817,0.394026,179.385742,2
12031016606,12031016808,NA,NA,NA,NA,NA,NA,NA
12031016606,12031015501,7,43.989368,58.5,0.148817,1.479692,143.117874,3
