stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0497,,"Gate Pkwy. & Deer Lake Dr.",,  30.261540, -81.550140,,,0,
0498,,"Gate Pkwy. & Deer Lake Dr.",,  30.261490, -81.552865,,,0,
0499,,"Gate Pkwy. & Deer Lake Dr.",,  30.261396, -81.552143,,,0,
0500,,"Tinseltown",,  30.262983, -81.554022,,,0,
0501,,"Tinseltown",,  30.262967, -81.554267,,,0,
0502,,"Deer Lake Dr. & Deer Lake Ct.",,  30.265127, -81.555457,,,0,
0503,,"9751 Deer Lake Ct.",,  30.266210, -81.555000,,,0,
0504,,"Deer Lake Ct. & Touchton Rd.",,  30.267050, -81.554720,,,0,
0506,,"Touchton Rd. & Deer Lake Ct.",,  30.268194, -81.554911,,,0,
0507,,"Touchton Rd. & Southside Blvd.",,  30.269028, -81.555846,,,0,
0508,,"Touchton Rd. & Southside Blvd.",,  30.269345, -81.557744,,,0,
0509,,"Gate Pkwy. & Deerwood Park Blvd.",,  30.248280, -81.536060,,,0,
0512,,"10551 Deerwood Park Blvd.",,  30.247560, -81.540560,,,0,
0513,,"10551 Deerwood Park Blvd.",,  30.247788, -81.539004,,,0,
0525,,"Deerwood Park Blvd. & Southside Blvd.",,  30.240270, -81.550470,,,0,
0526,,"Deerwood Park Blvd. & Southside Blvd.",,  30.240420, -81.549140,,,0,
0527,,"651 Commerce Center Dr. & Ross Regency nb",,  30.334883, -81.550943,,,0,
0528,,"651 Commerce Center Dr. & Ross  Regency sb",,  30.334927, -81.551037,,,0,
0529,,"438 Commerce Center Dr.& Cracker Barrel nb",,  30.332849, -81.551075,,,0,
0530,,"438 Commerce Center Dr.& Cracker Barrel sb",,  30.332367, -81.551284,,,0,
0531,,"860 Commerce Center Dr. & Bealls Regency wb",,  30.336693, -81.550358,,,0,
0532,,"860 Commerce Center Dr. & Bealls Regency eb",,  30.336780, -81.549980,,,0,
0533,,"Hogan Rd. & Southside Blvd.",,  30.274190, -81.558390,,,0,
0534,,"7524 Southside Service Rd.",,  30.237860, -81.552310,,,0,
0535,,"Southside Blvd. & Southbrook Dr.",,  30.236307, -81.552394,,,0,
0536,,"7632 Southside Blvd.",,  30.235090, -81.552320,,,0,
0538,,"7716 Southside Blvd.",,  30.231740, -81.552440,,,0,
0539,,"Southside Blvd. & Fawn Ridge Dr.",,  30.229056, -81.552556,,,0,
0540,,"7932 Southside Blvd.",,  30.226340, -81.552300,,,0,
0541,,"7932 Southside Blvd.",,  30.227039, -81.552485,,,0,
0542,,"8024 Southside Blvd.",,  30.224330, -81.552260,,,0,
0543,,"8024 Southside Blvd.",,  30.224570, -81.552350,,,0,
0544,,"8082 Southside Blvd.",,  30.222590, -81.552320,,,0,
0546,,"Southside Blvd. & Baymeadows Rd.",,  30.219910, -81.552360,,,0,
0553,,"9341 Atlantic Blvd.",,  30.318065, -81.556369,,,0,
0558,,"Ft. Caroline Rd. & Crimson Oaks Dr.",,  30.366710, -81.578750,,,0,
0560,,"Townsend Blvd. & Colony Cove Ln.",,  30.365400, -81.576952,,,0,
0561,,"Townsend Blvd. & Ft. Caroline Hills Dr. fs",,  30.365327, -81.577130,,,0,
0562,,"3450 Townsend Blvd.",,  30.363060, -81.577180,,,0,
0563,,"3433 Townsend Blvd.",,  30.362730, -81.577080,,,0,
0565,,"Townsend Blvd. & US Open Blvd.",,  30.360748, -81.577028,,,0,
0566,,"Townsend Blvd. & Green Arbor Pl.",,  30.358610, -81.577600,,,0,
0567,,"Townsend Blvd. & White Birch Dr.",,  30.358530, -81.577475,,,0,
0568,,"Townsend Blvd. & Greenfern Ln.",,  30.356590, -81.578180,,,0,
0569,,"Townsend Blvd. & Floral Ridge Dr.",,  30.355992, -81.578070,,,0,
0571,,"Townsend Blvd. & opp. Sandhurst Rd.",,  30.353570, -81.578170,,,0,
0572,,"Sandhurst Rd. & Townsend Blvd.",,  30.353520, -81.577740,,,0,
0573,,"Provident Dr. & S. Sandhurst Rd.",,  30.353410, -81.575860,,,0,
0574,,"Merrill Rd. & Hartsfield Rd.",,  30.352421, -81.562640,,,0,
0575,,"Merrill Rd. & Hartsfield Rd.",,  30.352280, -81.560990,,,0,
0576,,"8059 Merrill Rd.",,  30.352480, -81.558440,,,0,
0577,,"Merrill Rd. & Sunrise Ridge Ln.",,  30.352300, -81.558020,,,0,
0580,,"8059 Merrill Rd.",,  30.352240, -81.563190,,,0,
0597,,"Merrill Rd. & Wedgefield Blvd.",,  30.352052, -81.569414,,,0,
0598,,"Merrill Rd. & W. Kingstree Dr.",,  30.352072, -81.570991,,,0,
0599,,"Merrill Rd. & W. Wycombe Dr.",,  30.352210, -81.571120,,,0,
0600,,"7440 Merrill Rd.",,  30.352070, -81.572200,,,0,
0601,,"Merrill Rd. & Lansdowne Dr.",,  30.352197, -81.573605,,,0,
0602,,"Merrill Rd. & Lansdowne Dr.",,  30.352020, -81.574010,,,0,
0603,,"Merrill Rd. & Provident Rd.",,  30.352124, -81.575620,,,0,
0607,,"2710 Townsend Blvd.",,  30.350650, -81.577600,,,0,
